slang_term,slang_term_lower,useful_for_further_inspection,comment
Skeng,skeng,no,not observed in tweet text but always in user handles.
Sket,sket,no,slang version observed but not related to crime.
Slag,slag,no,"common and slang ver observed. However, tweets not related to crime or gangs."
Shook,shook,no,slang version observed but not related to crime.
Shank,shank,no,slang version observed but not related to crime.
Skududu ,skududu ,no,not used at all.
Tum-tum,tum-tum,no,slang usage observed but generally referring to penises rather than guns.
Ten-toes,ten-toes,no,slang usage observed but not related to crime.
Trapping,trapping,no,slang usage not observed.  Not suitable.
Traphouse ,traphouse ,no,Slang usage observed but no reference to crime. not suitable.
T-Side,t-side,no,some reference to guns and violence in context of video games.
Tops,tops,no,slang usage not observed.  Not suitable.
Trek,trek,no,slang usage not observed. Not suitable
Uck,uck,no,slang usage(blowjob) not observed. Used instead of the f-word. Not suitable
Uckers ,uckers ,no,slang usage(blowjob) not observed. Used instead of the f-word. Not suitable
Whip,whip,no,slang usage (car) not observed
Wagwarn,wagwarn,no,"slang usage observed, but hardly any reference to crime."
Wahgwan ,wahgwan ,no,"slang usage observed, but hardly any reference to crime."
Yute(s),yute(s),maybe,"slang usage observed, some mild reference to crime."
Yard,yard,no,slang usage not observed.  Not suitable.
nigga,nigga,no,"very common, slang not observed"
